LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-91.2072486,40.9189844,16450,TEAL ROAD,,SPERRY,,,,91,6e036ae1f24fffdd
-91.1240798,40.821573,1810,EDWARDS STREET,,BURLINGTON,,,,92,80358393de9d39bd
-91.1183682,40.7780185,2727,SUMMER STREET,,BURLINGTON,,,,93,d473cd660674c3c6
-91.1128197,40.7748296,1312,KOESTNER STREET,,BURLINGTON,,,,94,0bf938a9ae7d3fb9
-91.1129053,40.7748331,1314,KOESTNER STREET,,BURLINGTON,,,,95,0f41ba33296f27fa
-91.1129657,40.774833,1316,KOESTNER STREET,,BURLINGTON,,,,96,9d3fa9135d991462
-91.1536771,40.9702399,19950,115TH AVE AVENUE,,SPERRY,,,,97,8906b9a686ad4166
-91.1119354,40.8323676,2,THE OAKS,,BURLINGTON,,,,98,1554f6a2702d93e8
-91.3142991,40.8660044,110,N MAIN STREET,,DANVILLE,,,,99,41ff765b765ddf9e
-91.1643276,41.0109278,415 N ORCHARD STREET,ORCHARD STREET N,,MEDIAPOLIS,,,,100,fdb7f0db67bc1e97
-91.1611876,41.0036199,408,SOUTHWIND DRIVE,,MEDIAPOLIS,,,,101,8012bb41d5de2e76
-91.1611784,41.003788,406,SOUTHWIND DRIVE,,MEDIAPOLIS,,,,102,614b438b29261a41
-91.3148843,40.9680051,19657,DANVILLE ROAD,,NEW LONDON,,,,103,83147eba174b2ffd
-91.1515219,40.9018645,15260,HWY 61,,BURLINGTON,,,,104,6c709cc031cca989
-91.1410937,40.923636,16642,110TH AVENUE,,SPERRY,,,,105,d4d0f0af1c207f45
-91.1225088,40.9264488,16851,IRISH RIDGE ROAD,,BURLINGTON,,,,106,cdf5bccef61a9143
-91.2614277,40.8242854,305,LOUISIANA STREET,,MIDDLETOWN,,,,107,e4efd6302d4bb251
-91.2597747,40.8241797,304,EAST STREET,,MIDDLETOWN,,,,108,2c436a4876a4e1ed
-91.1573282,40.8560548,12067,HWY 61,,BURLINGTON,,,,109,14754270cb38273a
-91.165625,40.8653859,12747,HWY 61,,BURLINGTON,,,,110,3075243e791d9c2b
-91.1473888,40.832943,2215,RACINE AVENUE,,BURLINGTON,,,,111,ff80c117a5ae192a
-91.1031214,40.809464,207,N 3RD STREET,,BURLINGTON,,,,112,abf65d63471623f8
-91.1030808,40.809611,211,N 3RD STREET,,BURLINGTON,,,,113,a0fa69a98c9ec6ae
-91.1046801,40.8101636,417,JEFFERSON STREET,,BURLINGTON,,,,114,cc8b588c6c8efcd2
-91.104087,40.8100529,401,JEFFERSON STREET,,BURLINGTON,,,,115,29710ae1f12593da
-91.104932,40.809952,210,N 5TH STREET,,BURLINGTON,,,,116,2d8133bef7c2e0ab
-91.2602049,40.8288468,240,WASHINGTON STREET,,MIDDLETOWN,,,,117,95a1c71280e32486
-91.1158201,40.8127086,1316,WASHINGTON STREET,,BURLINGTON,,,,118,c1893b99c2d640c4
-91.1115845,40.806854,222,S 10TH STREET,,BURLINGTON,,,,119,ed5198395329091c
-91.1150253,40.8068825,318,S WOODLAWN AVENUE,,BURLINGTON,,,,120,20220471bff5fa90
-91.1149605,40.8004597,1409,GROVE STREET,,BURLINGTON,,,,121,f9c7b48fbee1cde4
-91.1047889,40.8232378,707,OAK STREET,,BURLINGTON,,,,122,b7867486cbba0f45
-91.1350442,40.8226463,1409,ORCHARD MEADOWS,,BURLINGTON,,,,123,fbeae676f9dce259
-91.1307701,40.8142746,2301,AGENCY STREET,,BURLINGTON,,,,124,87038c88b3a78761
-91.1132663,40.8099491,1122,MARKET STREET,,BURLINGTON,,,,125,f1af0eefb384a6e0
-91.1125383,40.8081648,144,S CENTRAL AVENUE,,BURLINGTON,,,,126,c1ebe5d22a81d561
-91.1205773,40.8054844,421,S LEEBRICK STREET,,BURLINGTON,,,,127,f20bc8eaae436bcc
-91.1180213,40.7895579,1818,LAUREL STREET,,BURLINGTON,,,,128,9a6fbcb7e165ea3c
-91.1469403,40.8285351,1806,RACINE AVENUE,,BURLINGTON,,,,129,4a1cf8c816215087
-91.1287497,40.834178,2512,GERDES DRIVE,,BURLINGTON,,,,130,06084c11705edfb3
-91.1141886,40.8021355,529,SUMMER STREET,,BURLINGTON,,,,131,01c2b3a97e101b13
-91.1321845,40.813004,2416,WASHINGTON STREET,,BURLINGTON,,,,132,379012a8e916212c
-91.1170532,40.8023919,630,S GUNNISON STREET,,BURLINGTON,,,,133,cb1b37ba4bd80e99
-91.1057906,40.8006296,518,CEDAR STREET,,BURLINGTON,,,,134,7e56994c6eee127f
-91.1172749,40.8124218,314,N GUNNISON STREET,,BURLINGTON,,,,135,dd3cee1db0e710e0
-91.1402998,40.8099499,3027,FLEMING COURT,,BURLINGTON,,,,136,afe0309cd3a69945
-91.1217197,40.7917721,1604,S LEEBRICK STREET,,BURLINGTON,,,,137,21e008f9028ac120
-91.1124953,40.8216712,1310,OSBORN STREET,,BURLINGTON,,,,138,9a2450722d619a6e
-91.119347,40.7872822,113,GREENBRIAR DRIVE,,BURLINGTON,,,,139,f98cfb8e67d9cae7
-91.1057854,40.8240501,1515,N 8TH STREET,,BURLINGTON,,,,140,dabe53b3d703862f
-91.1226156,40.8037608,601,S STARR AVENUE,,BURLINGTON,,,,141,13de276a767b5723
-91.1161839,40.8066112,326,S MARSHALL STREET,,BURLINGTON,,,,142,53c7f28700af8ff9
-91.1136332,40.8255985,1405,CORSE STREET,,BURLINGTON,,,,143,534d4fb2c6619cce
-91.1127794,40.8254055,1611,OSBORN STREET,,BURLINGTON,,,,144,7d25503dc7ce1712
-91.1640776,41.0050219,315,S SUNNYSIDE STREET,,MEDIAPOLIS,,,,145,bebe172fca50bd29
-91.1538618,41.0056669,140,CENTENNIAL DRIVE,,MEDIAPOLIS,,,,146,1a615f3d58bf6c77
-91.1664268,41.005982,309,MEADOW STREET,,MEDIAPOLIS,,,,147,a68bcc8b6cb7c374
-91.1681647,41.0057741,387,GREEN ACRES DRIVE,,MEDIAPOLIS,,,,148,e62eb6811646d0dc
-91.1678265,41.0049093,355,GREEN ACRES DRIVE,,MEDIAPOLIS,,,,149,149ca96f9750e1a9
-91.1689985,41.0057259,319,GREEN ACRES DRIVE,,MEDIAPOLIS,,,,150,fffae03e36532144
